Kingdom,Class,Family,Species Code,Scientific Name,Common Name,NSW status,Comm. status,Records
Plantae,Flora,Myrtaceae,4038,Eucalyptus aggregata,Black Gum,V,V,607
Plantae,Flora,Myrtaceae,4038,Eucalyptus aggregata,Eucalyptus aggregata population in the Wingecaribee local government area,"E2,V",V,42
Plantae,Flora,Myrtaceae,10949,Eucalyptus alligatrix subsp. alligatrix,,V,V,11
Plantae,Flora,Myrtaceae,4044,Eucalyptus approximans,Barren Mountain Mallee,V,,22
Plantae,Flora,Myrtaceae,8850,Eucalyptus aquatica,Broad-leaved Sally,V,V,367
Plantae,Flora,Myrtaceae,4055,Eucalyptus benthamii,Camden White Gum,V,V,697
Plantae,Flora,Myrtaceae,11294,Eucalyptus boliviana,Bolivia Stringybark,V,,14
Plantae,Flora,Myrtaceae,9517,Eucalyptus caleyi subsp. ovendenii,Ovenden's Ironbark,V,V,18
Plantae,Flora,Myrtaceae,6360,Eucalyptus camaldulensis,Eucalyptus camaldulensis population in the Hunter catchment,E2,,1275
Plantae,Flora,Myrtaceae,4067,Eucalyptus camfieldii,Camfield's Stringybark,V,V,2553
Plantae,Flora,Myrtaceae,9161,Eucalyptus camphora subsp. relicta,Warra Broad-leaved Sally,E1,,19
Plantae,Flora,Myrtaceae,8326,Eucalyptus cannonii,Capertee Stringybark,V,,540
Plantae,Flora,Myrtaceae,10890,Eucalyptus canobolensis,Silver-Leaf Candlebark,V,E,173
Plantae,Flora,Myrtaceae,11612,Eucalyptus castrensis,Singleton Mallee,E1,,155
Plantae,Flora,Myrtaceae,8849,^^Eucalyptus copulans,,"E1,3",E,24
Plantae,Flora,Myrtaceae,10020,Eucalyptus corticosa,Creswick Apple Box,V,,182
Plantae,Flora,Myrtaceae,9719,^^Eucalyptus dissita,Gibraltar Mallee,"V,3",,78
Plantae,Flora,Myrtaceae,9720,Eucalyptus fracta,Broken Back Ironbark,V,,37
Plantae,Flora,Myrtaceae,4096,Eucalyptus glaucina,Slaty Red Gum,V,V,879
Plantae,Flora,Myrtaceae,4106,^^Eucalyptus imlayensis,Imlay Mallee,"E4A,3",E,15
Plantae,Flora,Myrtaceae,4110,Eucalyptus kartzoffiana,Araluen Gum,V,V,100
Plantae,Flora,Myrtaceae,9518,Eucalyptus langleyi,Albatross Mallee,V,V,62
Plantae,Flora,Myrtaceae,9518,Eucalyptus langleyi,Eucalyptus langleyi population north of the Shoalhaven River in the Shoalhaven local government area,"E2,V",V,62
Plantae,Flora,Myrtaceae,4113,Eucalyptus largeana,Craven Grey Box,E1,E,641
Plantae,Flora,Myrtaceae,6961,Eucalyptus leucoxylon subsp. pruinosa,Yellow Gum,V,,19
Plantae,Flora,Myrtaceae,4119,Eucalyptus macarthurii,"Paddys River Box, Camden Woollybutt",E1,E,1344
Plantae,Flora,Myrtaceae,8713,Eucalyptus magnificata,Northern Blue Box,E1,,44
Plantae,Flora,Myrtaceae,4123,Eucalyptus mckieana,McKie's Stringybark,V,V,222
Plantae,Flora,Myrtaceae,9028,Eucalyptus microcodon,Border Mallee,E1,,297
Plantae,Flora,Myrtaceae,4134,Eucalyptus nicholii,Narrow-leaved Black Peppermint,V,V,245
Plantae,Flora,Myrtaceae,4141,Eucalyptus oblonga,"Eucalyptus oblonga population at Bateau Bay, Forresters Beach and Tumbi Umbi in the Wyong local government area",E2,,18
Plantae,Flora,Myrtaceae,10888,Eucalyptus oresbia,Small-fruited Mountain Gum,V,,44
Plantae,Flora,Myrtaceae,9925,^^Eucalyptus pachycalyx subsp. banyabba,Banyabba Shiny-barked Gum,"E1,3",E,26
Plantae,Flora,Myrtaceae,9163,Eucalyptus parramattensis subsp. decadens,,V,V,3564
Plantae,Flora,Myrtaceae,8959,Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis C. Hall. subsp. parramattensis in Wyong and Lake Macquarie local government areas,E2,,119
Plantae,Flora,Myrtaceae,9519,Eucalyptus parvula,Small-leaved Gum,E1,V,208
Plantae,Flora,Myrtaceae,4163,Eucalyptus pulverulenta,Silver-leafed Gum,V,V,153
Plantae,Flora,Myrtaceae,4164,Eucalyptus pumila,Pokolbin Mallee,V,V,128
Plantae,Flora,Myrtaceae,7598,Eucalyptus recurva,Mongarlowe Mallee,E4A,CE,21
Plantae,Flora,Myrtaceae,9520,Eucalyptus robertsonii subsp. hemisphaerica,Robertson's Peppermint,V,V,25
Plantae,Flora,Myrtaceae,9164,Eucalyptus rubida subsp. barbigerorum,Blackbutt Candlebark,V,V,245
Plantae,Flora,Myrtaceae,8382,Eucalyptus saxatilis,Suggan Buggan Mallee,E1,,20
Plantae,Flora,Myrtaceae,8907,Eucalyptus scoparia,Wallangarra White Gum,E1,V,71
Plantae,Flora,Myrtaceae,4179,Eucalyptus seeana,Eucalyptus seeana population in the Greater Taree local government area,E2,,57
Plantae,Flora,Myrtaceae,11892,Eucalyptus sp. Cattai,,E4A,CE,565
Plantae,Flora,Myrtaceae,11893,Eucalyptus sp. Howes Swamp Creek,,E1,E,12
Plantae,Flora,Myrtaceae,4190,Eucalyptus sturgissiana,Ettrema Mallee,V,,226
Plantae,Flora,Myrtaceae,4193,Eucalyptus tetrapleura,Square-fruited Ironbark,V,V,1065
